title,description,genre,website_url,image_url,description_length,id,k_means_cluster
"One, Two, Threebies!","Join Boxy, Tri and Roh as they dance and bounce around discovering shapes, numbers, and fractions! There's always a new puzzle, and maybe even a watermelon slice or two, when you come to play with the Threebies!","Education, Kids",https://iview.abc.net.au/show/one-two-threebies,https://cdn.iview.abc.net.au/thumbs/i/ch/CH1931H_5f7e9ff0d928a_1280.jpg,37,691,7
Only God Forgives,"Julian runs a Thai boxing club and smuggling ring in Bangkok. When his brother is murdered, their crime lord mother forces Julian to settle the score, in the ultimate showdown.","Drama, Movies",https://iview.abc.net.au/show/only-god-forgives/video/ZW2882A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2882A001S00_609dbf9c2f83e_1920.jpg,30,692,5
Opera on Sydney Harbour: Carmen,"Opera Australia performs Bizet's Carmen, against the backdrop of Sydney Harbour. Naive soldier Don Jose abandons his childhood sweetheart and deserts the army when he falls under the spell of an alluring gypsy.",Arts and culture,https://iview.abc.net.au/show/opera-on-sydney-harbour-carmen/video/ZX9546A001S00,https://cdn.iview.abc.net.au/thumbs/i/zx/ZX9546A001S00_6076451a49026_1280.jpg,33,693,13
Opera On Sydney Harbour: La Boheme,"Experience the romance of the original bohemian love story as Opera Australia performs Puccini's masterpiece, against the grand setting of Sydney Harbour. Performed by Opera Australia.",Arts and culture,https://iview.abc.net.au/show/opera-on-sydney-harbour-la-boheme/video/ZW2303A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2303A001S00_607647bcec838_1280.jpg,26,694,13
Operation Buffalo,"In Cold War South Australia, at a remote British nuclear testing, the eclectic crew attempt to keep the base running as paranoia runs high and shocking events unfold.",Drama,https://iview.abc.net.au/show/operation-buffalo,https://cdn.iview.abc.net.au/thumbs/i/dr/DR1821H_5eab69179eaf6.jpg,28,695,3
Operation Ouch!: Do Try This At Home,"The Docs are back in Xand's kitchen lab! Every episode Chris and Xand do an experiment for you to try at home, from extracting your DNA to making a vomit factory!",Family,https://iview.abc.net.au/show/operation-ouch-do-try-this-at-home,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW3065A_6180c5a049c25.jpg,31,696,9
Operation Ouch! Hospital Takeover,Chris and Xand join forces once again as Operation Ouch takes over Alder Hey to reveal the incredible things that go on behind the scenes and on the wards of one of Europe's largest children's hospitals.,Family,https://iview.abc.net.au/show/operation-ouch-hospital-takeover,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW0923A_5ca6e6f671fce_1280.jpg,36,697,3
Operation Ouch! The Life Fix,"Want to know how to sort your life out? Packed with loads of life fixing know-how, this show cracks the code of your daily dilemmas.",Family,https://iview.abc.net.au/show/operation-ouch-the-life-fix/video/ZW1666A001S00,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1666A001S00_606fdb172d843_1280.jpg,25,698,1
Operation Ouch!,"Operation Ouch! is back! Join Dr Chris, Dr Xand and Dr Ronx for awesome lab experiments, intriguing injuries, Brilliant Bodies and a serious dose of Ouchology.",Family,https://iview.abc.net.au/show/operation-ouch,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW1916A_602c65dad15cc_1280.jpg,26,699,2
Ordinary Lies,"Exploring the lives, loves and lies of a call centre and warehouse of a sports sales company in Wales. With compelling stories of what can happen when an apparently simple deception spirals out of control.",Drama,https://iview.abc.net.au/show/ordinary-lies,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2711A_60581541e79ef_1280.jpg,35,700,9
Our Dawn,"Our champion and our inspiration, swimming legend Dawn Fraser opens up to Tracey Holmes about her life, swimming career, winning Gold, the 1964 Tokyo Games and the theft of that Flag that cost Dawn her Olympic future.","Documentary, News and current affairs",https://iview.abc.net.au/show/our-dawn/video/NS2144H001S00,https://cdn.iview.abc.net.au/thumbs/i/ns/NS2144H001S00_60ecd180c66c0_1920.jpg,37,701,4
Our Dementia Choir,"Actor Vicky McClure recruits people with dementia to form a choir. And experts from medicine, music therapy and performance nurture and rehearse with them. This is a story where personal achievements meet breaking science.",Documentary,https://iview.abc.net.au/show/our-dementia-choir,https://cdn.iview.abc.net.au/thumbs/i/zw/ZW2655A_60137ae420d77_1280.jpg,34,702,2
